word,openmoji_url,match_type,annotation
Triangle,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F53A.svg,openmoji|score80,red triangle pointed up
Truck,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F929.svg,openmoji|score80,star-struck
Turkey,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F983.svg,openmoji|score100,turkey
Turnip,,none,
Turquoise,,none,
Turtle,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F422.svg,openmoji|score100,turtle
Ugli Fruit,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F95D.svg,openmoji|score60,kiwi fruit
Umbrella,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/2602.svg,openmoji|score100,umbrella
Uncle,,none,
Under,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FAE9.svg,openmoji|score80,face with bags under eyes
Unicorn,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F984.svg,openmoji|score100,unicorn
Up,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F643.svg,openmoji|score80,upside-down face
Upma,,none,
Vada,,none,
Valley,,none,
Van,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F1FB-1F1FA.svg,openmoji|score80,flag: Vanuatu
Vegetable Soup,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FADC.svg,openmoji|score60,root vegetable
Vet,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F1E7-1F1FB.svg,openmoji|score80,flag: Bouvet Island
Violet,,none,
Volcano,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F30B.svg,openmoji|score100,volcano
Vulture,,none,
Waffle,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9C7.svg,openmoji|score100,waffle
Wagon,,none,
Waist,,none,
Waiter,,none,
Walrus,,none,
Water,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F93D.svg,openmoji|score80,person playing water polo
Waterfall,,none,
Watermelon,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F349.svg,openmoji|score100,watermelon
Wave,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F30A.svg,openmoji|score80,water wave
